radio,mcc,mnc,operator,lac,cellid,lat,lon,range,averageSignal,created,sample_data,network_type,country,region_type,lat_normalized,lon_normalized,range_normalized,averageSignal_normalized
LTE,262,1,Telekom,2390,18837,48.156374553784545,11.57590081930201,865,-69,2025-03-08 04:38:43,True,4G,Germany,Munich City Center,0.5172523252881771,0.5542890354265377,0.0068560235063663075,0.5517241379310345
NR,262,2,Vodafone,2715,35703,48.153806559125854,11.587705027312927,1527,-66,2025-02-12 23:50:47,True,5G,Germany,Munich City Center,0.5086199946162795,0.5780120929663793,0.0788986832081837,0.6551724137931034
GSM,262,2,Vodafone,2873,44293,48.14761227835665,11.596914976002768,1889,-60,2025-08-29 16:03:32,True,2G,Germany,Munich City Center,0.48779787970516686,0.5965214366263725,0.11829361192730438,0.8620689655172413
UMTS,262,2,Vodafone,2350,30053,48.15893809997654,11.591084106977442,1858,-65,2025-06-14 17:07:57,True,3G,Germany,Munich City Center,0.52586970241047,0.5848030696451094,0.1149200130590924,0.6896551724137931
NR,262,7,O2,3659,25223,48.14361152464319,11.578257564390144,1961,-81,2025-03-22 11:51:54,True,5G,Germany,Munich City Center,0.4743493201941505,0.559025414121393,0.1261290673631516,0.13793103448275862
LTE,262,2,Vodafone,4752,27857,48.13559726056856,11.556046886495134,1577,-85,2025-09-27 23:16:07,True,4G,Germany,Munich City Center,0.44740931961821157,0.5143883500155302,0.08433997170529982,0.0
LTE,262,7,O2,2477,14881,48.134061519534875,11.567035739504743,1633,-82,2025-04-28 04:45:49,True,4G,Germany,Munich City Center,0.4422469161901887,0.5364727788906166,0.09043421482206987,0.10344827586206896
LTE,262,1,Telekom,4804,13830,48.15469569411904,11.563222255721426,1094,-67,2025-03-02 02:41:54,True,4G,Germany,Munich City Center,0.5116088276526618,0.5288087750764507,0.03177712482315812,0.6206896551724138
UMTS,262,2,Vodafone,1837,37448,48.15045226055842,11.594385769498986,1486,-66,2025-05-27 03:19:13,True,3G,Germany,Munich City Center,0.49734449826413507,0.5914384601688351,0.07443682664054849,0.6551724137931034
LTE,262,1,Telekom,1956,35354,48.13361205652909,11.565171543750163,1345,-75,2025-01-18 11:21:35,True,4G,Germany,Munich City Center,0.4407360433861499,0.5327262824623489,0.059092393078681034,0.3448275862068966
GSM,262,1,Telekom,4240,32758,48.1463197723952,11.564588822119235,1162,-85,2025-08-20 22:05:47,True,2G,Germany,Munich City Center,0.48345311254732626,0.531555179854922,0.039177277179236046,0.0
UMTS,262,1,Telekom,1441,37698,48.13363163602322,11.583925983782645,1375,-81,2025-01-04 05:25:31,True,3G,Germany,Munich City Center,0.4408018599824341,0.5704173041392491,0.0623571661769507,0.13793103448275862
LTE,262,1,Telekom,1715,19956,48.13448260332612,11.556345113348975,1020,-81,2025-02-01 03:16:59,True,4G,Germany,Munich City Center,0.4436623920808041,0.5149877000784113,0.02372401784742627,0.13793103448275862
